signal_cycle,phase,follower_id,leader_id,follower_type,leader_type,min_TTC_s,max_DRAC_mps2,mean_TTC_s,interaction_duration_s,n_timesteps,critical_TTC,critical_DRAC,is_critical
1,GREEN,56,7,car,car,4.697920191581851,0.4088724204898051,6.547833031147156,1.6,9,False,False,False
1,GREEN,56,58,car,truck,8.627733443880194,0.0559185101322538,13.938958869225843,0.6,3,False,False,False
1,GREEN,56,71,car,car,16.623079437724744,0.0092010629301868,16.623079437724744,0.0,1,False,False,False
1,GREEN,58,7,truck,car,0.1324400483064006,6.564857164567954,0.9691943089822823,1.2,2,True,True,True
1,GREEN,59,22,car,car,5.013452563046632,0.2542858407391182,6.833992777749444,2.0,10,False,False,False
1,GREEN,59,47,car,car,1.454404479862158,0.7980929762468901,1.8294260247601204,0.2,2,True,False,True
1,GREEN,59,75,car,car,7.015001973943938,0.0180541645562496,7.015001973943938,0.0,1,False,False,False
1,GREEN,63,58,bus,truck,21.922201138519927,0.0108178005712801,21.922201138519927,0.0,1,False,False,False
1,GREEN,64,58,car,truck,2.986468088617517,0.4058138121814088,2.986468088617517,0.0,1,False,False,False
1,GREEN,65,7,car,car,1.392167966197674,0.8245053958072591,1.9879572226801034,0.8,5,True,False,True
1,GREEN,65,7,truck,car,0.7738630024369476,2.200583300451493,0.908861948344095,0.2,2,True,False,True
1,GREEN,66,52,car,truck,2.295258065702829,0.5921556361392487,4.8431459238851975,0.2,2,False,False,False
1,GREEN,66,72,car,car,2.1188720173535787,0.2175685913185913,2.6631610882924392,0.6,4,False,False,False
1,GREEN,67,57,car,truck,1.442946333687566,0.5217103245109324,1.442946333687566,0.0,1,True,False,True
1,GREEN,73,58,car,truck,12.501527614571089,0.051053760762492,62.622741047683824,0.2,2,False,False,False
1,GREEN,73,64,car,car,2.9822642055038804,0.3478732696068131,28.704636462624705,0.6,4,False,False,False
1,GREEN,73,71,car,car,6.590975968612065,0.1082768323535977,16.8399759824291,0.6,4,False,False,False
1,GREEN,73,75,car,car,5.506934616473252,0.0962332108347039,12.038348822763448,1.0,6,False,False,False
1,GREEN,74,19,car,bus,0.3577384584095993,1.3744678226264924,0.3577384584095993,0.0,1,True,False,True
1,GREEN,76,19,car,bus,1.5021303258145364,0.5312455159756403,1.5021303258145364,0.0,1,False,False,False
1,GREEN,76,43,car,truck,0.0876963064893082,26.10315179327522,0.0876963064893082,0.0,1,True,True,True
1,GREEN,76,74,car,car,0.3776150248359378,3.6519998127700433,0.6806280391624706,0.4,2,True,True,True
1,GREEN,77,7,truck,car,7.21767413550424,0.1821015988425719,12.36812911920855,2.4,13,False,False,False
1,GREEN,77,19,truck,bus,2.737923864363404,0.2283482050533079,2.8448621834146044,0.2,2,False,False,False
1,GREEN,77,22,truck,car,5.5462818143039945,0.3170141833517061,5.9827535645900864,1.0,6,False,False,False
1,GREEN,77,80,truck,truck,3.1703070818289065,0.4411717741844547,3.329409551380209,0.4,3,False,False,False
1,GREEN,78,7,bus,car,207.63047445255472,0.0002639304280572,282.8274457462594,28.167,4,False,False,False
1,GREEN,78,7,truck,car,428.031512605042,5.5603382692902334e-05,471.7524149330905,2.4,12,False,False,False
1,GREEN,78,19,bus,bus,57.30988274706868,0.0015625577249079,57.30988274706868,0.0,1,False,False,False
1,GREEN,78,19,truck,bus,56.82453416149068,0.0016999699412488,56.82453416149068,0.0,1,False,False,False
1,GREEN,78,43,bus,truck,69.59160305343511,0.0001882411012998,69.59160305343511,0.0,1,False,False,False
1,GREEN,78,43,truck,truck,38.614072494669536,0.0006072915516289,78.79999345124936,0.6,3,False,False,False
1,GREEN,78,123,truck,bus,49.17958515283844,0.0018625614615358,49.17958515283844,0.0,1,False,False,False
1,GREEN,78,171,bus,bus,206.84353741496605,0.0001066023153325,285.5612331747224,0.8,3,False,False,False
1,GREEN,78,188,bus,truck,150.31111111111122,2.9937906564163177e-05,150.31111111111122,0.0,1,False,False,False
1,GREEN,78,210,truck,truck,204.57557251908395,0.0001600875392732,204.57557251908395,0.0,1,False,False,False
1,GREEN,79,22,car,car,8.453262786596119,0.0771358960984769,9.887383411318392,1.4,7,False,False,False
1,GREEN,79,82,car,motorcycle,10.052107881644412,0.0759840631430878,10.052107881644412,0.0,1,False,False,False
1,GREEN,80,7,car,car,1.1735573156932722,0.4894946265667876,1.1735573156932722,0.0,1,True,False,True
1,GREEN,80,7,truck,car,0.1209598179655582,7.993150256519878,0.8740519322228333,1.2,6,True,True,True
1,GREEN,80,22,truck,car,2.0020145668681235,0.1611626635188482,3.184123612422325,1.4,8,False,False,False
1,GREEN,83,96,car,truck,0.7528773072747014,2.140787063743871,2.427439442164788,0.4,3,True,False,True
1,GREEN,84,43,car,car,0.5283956719942879,3.4457133101190167,0.5283956719942879,0.0,1,True,True,True
1,GREEN,84,43,car,truck,0.0527452540638854,41.69569450431033,0.3763281917910528,0.4,3,True,True,True
1,GREEN,84,74,car,car,0.4001139925904816,2.6310002136752133,0.5542857647796642,0.2,2,True,False,True
1,GREEN,84,79,car,car,0.1953651886927823,3.5671656995960324,0.9943731131299336,0.2,2,True,True,True
1,GREEN,85,83,car,car,1.3846432929845975,1.0948307103213353,3.9827995512876098,0.6,4,True,False,True
1,GREEN,86,83,car,car,2.5046327305202056,0.3576572281773003,69.87822151591185,0.6,3,False,False,False
1,GREEN,86,98,car,truck,0.1599568267674042,5.792187921727396,0.2252517754441644,0.4,3,True,True,True
1,GREEN,89,7,car,car,5.8549301368379245,0.2365271604671814,7.612348076214234,0.6,4,False,False,False
1,GREEN,89,43,car,truck,0.057275921235395,21.36849087018545,0.19335979787434174,0.4,3,True,True,True
1,GREEN,89,75,car,car,12.709460970700064,0.0527677768196536,12.709460970700064,0.0,1,False,False,False
1,GREEN,89,108,car,car,2.7094132725719167,0.2591705027463142,2.7094132725719167,0.0,1,False,False,False
1,GREEN,91,22,car,car,5.755427443648074,0.1672682019582186,7.821993429411128,0.8,5,False,False,False
1,GREEN,91,75,car,car,179.50947158524457,0.0002793724451257,179.50947158524457,0.0,1,False,False,False
1,GREEN,94,7,car,car,4.300097434231893,0.4654196865558912,5.690016771574832,1.2,7,False,False,False
1,GREEN,94,80,car,truck,3.1355376914909754,0.5256674172576261,12.862571711917132,0.8,5,False,False,False
1,GREEN,94,96,car,truck,4.619461946194619,0.3246806700584542,7.287031275877503,0.4,3,False,False,False
1,GREEN,94,100,car,motorcycle,3.595560032544264,0.3589287867033026,3.595560032544264,0.0,1,False,False,False
1,GREEN,94,108,car,car,1.837619109776792,0.416898146043472,1.837619109776792,0.0,1,False,False,False
1,GREEN,98,109,truck,car,22.80252479711452,0.0048634965200885,139.0701013007952,0.6,3,False,False,False
1,GREEN,98,109,truck,truck,6.3290434782608775,0.0227127528028137,6.3290434782608775,0.0,1,False,False,False
1,GREEN,99,22,truck,car,5.375794010889292,0.3279887578334353,7.756009024600338,0.2,2,False,False,False
1,GREEN,99,79,truck,car,1.6078354707538316,0.7953550119157629,3.3645667765660683,0.2,2,False,False,False
1,GREEN,99,86,truck,car,0.3932958413497114,1.7180451175917215,0.9603253430352379,0.6,4,True,False,True
1,GREEN,99,98,truck,truck,1.953106519167884,0.7359045632658878,5.186681484278024,0.8,5,False,False,False
