timestamp_s,mean_speed_kmh,median_speed_kmh,n_vehicles,std_speed_kmh,smooth_speed_kmh,phase,signal_cycle
107.933,8.950025,9.950849999999999,4,5.93581535841258,7.077719761904759,GREEN,2
107.967,6.065075,5.3195,4,2.41221907984467,6.404176190476187,GREEN,2
108.067,6.999133333333333,3.9116,3,6.583548114302296,6.456065476190473,GREEN,2
108.1,4.52602,3.4887,5,3.7207723817777403,6.611296904761902,GREEN,2
108.133,8.041174999999999,9.23945,4,5.080957204684304,5.940141904761902,GREEN,2
108.167,6.06685,5.5008,4,2.228500055343653,6.581562619047617,GREEN,2
108.267,5.6308,3.32775,4,6.224615445685514,6.480829285714283,GREEN,2
108.3,4.25194,3.4272,5,3.5063335605729242,6.627465714285711,GREEN,2
108.333,10.55502,8.969,5,9.025580526038201,6.051366428571426,GREEN,2
108.367,6.2940000000000005,5.96645,4,2.312674600255442,6.771259285714284,GREEN,2
108.467,5.552475,3.4039,4,6.0649424835827315,6.890441428571426,GREEN,2
108.5,4.0084800000000005,3.447,5,3.3748067006867224,7.339355714285712,GREEN,2
108.533,11.1061,8.3363,5,10.293770087533526,6.40688714285714,GREEN,2
108.567,6.465075,6.77125,4,2.407585427179411,7.889520476190474,GREEN,2
108.667,7.39434,4.3392,5,6.888786003208403,8.022852619047615,GREEN,2
108.7,4.02774,3.5382,5,3.623322163843563,7.816403095238092,GREEN,2
108.733,16.672433333333334,11.9135,3,10.823014488271433,7.098465952380949,GREEN,2
108.767,6.4858,6.508900000000001,4,2.3626570395778286,6.719220952380949,GREEN,2
108.8,2.5633333333333335,1.8461,3,2.0940911544947927,7.874434285714282,GREEN,2
108.867,6.08054,4.5772,5,5.468042270593745,8.295121428571425,GREEN,2
108.9,3.81036,3.6474,5,3.040562474773377,6.287292857142854,GREEN,2
108.933,15.480833333333335,13.7847,3,5.965763289247516,6.2857499999999975,GREEN,2
108.967,6.97255,6.8782,4,2.7424300045762333,6.684728095238093,GREEN,2
