frame_number,vehicle_id,timestamp_s,vehicle_type,x_center_px,y_center_px,x_front_px,y_front_px,x_min,y_min,x_max,y_max,width_px,height_px,confidence,vehicle_length_m,vehicle_width_m
60,7,2.0,car,551.04,167.27,573.78,167.27,528.29,149.85,573.78,184.69,45.49,34.85,0.7362,4.5,1.8
60,2,2.0,car,479.26,253.33,520.83,253.33,437.69,217.85,520.83,288.82,83.15,70.97,0.734,4.5,1.8
60,4,2.0,car,195.46,145.93,214.01,145.93,176.91,132.03,214.01,159.83,37.1,27.81,0.6434,4.5,1.8
60,3,2.0,car,186.51,131.78,204.6,131.78,168.42,120.21,204.6,143.34,36.17,23.13,0.6112,4.5,1.8
60,29,2.0,car,290.94,334.23,322.21,334.23,259.66,309.58,322.21,358.88,62.55,49.3,0.5405,4.5,1.8
60,6,2.0,car,218.51,116.96,230.27,116.96,206.74,108.15,230.27,125.76,23.53,17.6,0.4223,4.5,1.8
62,23,2.067,car,318.65,120.72,331.98,120.72,305.32,107.25,331.98,134.18,26.65,26.94,0.6479,4.5,1.8
63,20,2.1,car,124.02,171.29,151.73,171.29,96.31,153.77,151.73,188.8,55.42,35.03,0.8081,4.5,1.8
63,19,2.1,bus,416.27,86.88,453.06,86.88,379.49,71.18,453.06,102.58,73.57,31.4,0.7262,12.0,2.5
63,30,2.1,bus,10.22,121.1,20.4,121.1,0.04,101.06,20.4,141.15,20.36,40.09,0.5702,12.0,2.5
64,22,2.133,car,505.43,136.33,520.88,136.33,489.98,124.1,520.88,148.56,30.9,24.46,0.6305,4.5,1.8
64,17,2.133,car,351.75,114.19,361.81,114.19,341.68,102.87,361.81,125.51,20.13,22.64,0.5492,4.5,1.8
65,28,2.167,car,138.26,198.36,173.89,198.36,102.62,175.09,173.89,221.64,71.27,46.55,0.8382,4.5,1.8
65,21,2.167,car,88.89,144.62,109.67,144.62,68.11,131.95,109.67,157.3,41.56,25.35,0.7833,4.5,1.8
65,25,2.167,truck,386.39,123.27,403.0,123.27,369.77,101.95,403.0,144.59,33.23,42.64,0.5432,8.0,2.5
66,5,2.2,car,256.63,267.82,292.19,267.82,221.06,227.28,292.19,308.37,71.13,81.09,0.8351,4.5,1.8
66,2,2.2,car,497.44,271.18,544.01,271.18,450.86,232.34,544.01,310.03,93.15,77.68,0.8037,4.5,1.8
66,11,2.2,truck,432.44,156.02,462.0,156.02,402.87,119.1,462.0,192.95,59.12,73.85,0.7841,8.0,2.5
66,7,2.2,car,551.38,168.01,574.08,168.01,528.68,150.67,574.08,185.34,45.4,34.67,0.7673,4.5,1.8
66,9,2.2,car,306.35,183.61,326.2,183.61,286.5,162.49,326.2,204.73,39.7,42.24,0.7585,4.5,1.8
66,4,2.2,car,203.05,141.86,220.77,141.86,185.34,128.72,220.77,155.0,35.44,26.28,0.5736,4.5,1.8
67,34,2.233,car,28.32,279.48,56.49,279.48,0.15,246.11,56.49,312.85,56.34,66.74,0.8454,4.5,1.8
68,23,2.267,car,319.49,125.3,332.82,125.3,306.15,112.43,332.82,138.17,26.67,25.75,0.6887,4.5,1.8
69,20,2.3,car,138.29,164.45,163.75,164.45,112.83,148.09,163.75,180.81,50.92,32.72,0.7881,4.5,1.8
69,19,2.3,bus,415.38,87.77,455.12,87.77,375.64,72.29,455.12,103.24,79.49,30.94,0.7242,12.0,2.5
69,30,2.3,bus,10.97,122.19,21.89,122.19,0.06,102.21,21.89,142.17,21.83,39.96,0.6874,12.0,2.5
